Image,PSNR (dB),SSIM,Accuracy (%),RMSE
10003.jpg,28.05,0.8752,94.56,10.09
1001.jpg,27.05,0.7564,85.63,11.32
10011.jpg,27.77,0.7633,88.63,10.42
1002.jpg,28.02,0.7267,89.3,10.13
10024.jpg,24.38,0.762,82.53,15.4
10028.jpg,26.28,0.688,86.82,12.37
10032.jpg,25.52,0.7701,83.38,13.5
10033.jpg,25.21,0.6528,77.11,14.0
10041.jpg,28.6,0.8063,91.66,9.47
10044.jpg,24.0,0.665,80.35,16.1
10045.jpg,26.36,0.7264,84.68,12.26
10063.jpg,27.63,0.7936,93.81,10.6
10064.jpg,27.33,0.6949,84.59,10.97
1007.jpg,25.25,0.6981,81.56,13.93
10071.jpg,24.46,0.6912,79.85,15.27
10076.jpg,26.68,0.7113,82.41,11.82
10078.jpg,28.46,0.8033,91.97,9.62
10080.jpg,27.37,0.7909,89.01,10.92
10086.jpg,26.37,0.6688,84.65,12.25
10093.jpg,24.74,0.6304,79.46,14.77
10095.jpg,24.52,0.6134,79.27,15.15
10097.jpg,23.27,0.7258,77.33,17.51
10104.jpg,26.99,0.7955,87.46,11.4
10119.jpg,25.47,0.7086,83.27,13.58
10121.jpg,29.78,0.8563,94.92,8.27
10123.jpg,26.11,0.7252,82.5,12.62
10131.jpg,26.02,0.7229,83.39,12.75
10132.jpg,26.85,0.6765,84.11,11.59
10133.jpg,27.38,0.7959,88.2,10.91
10143.jpg,26.09,0.7692,83.83,12.64
10148.jpg,25.5,0.7684,83.7,13.54
10149.jpg,26.98,0.6434,85.16,11.42
10151.jpg,28.51,0.7696,91.22,9.58
10156.jpg,20.45,0.5357,66.22,24.2
10157.jpg,26.27,0.6878,85.57,12.39
10158.jpg,25.58,0.7866,85.93,13.41
1016.jpg,25.69,0.7681,85.79,13.25
10160.jpg,25.27,0.6535,78.38,13.91
1018.jpg,25.86,0.7045,78.95,12.99
10182.jpg,25.86,0.721,82.51,12.98
10188.jpg,24.04,0.7112,75.99,16.02
10189.jpg,25.47,0.6836,79.83,13.58
10193.jpg,25.5,0.6444,79.18,13.54
1020.jpg,27.95,0.797,90.21,10.21
10202.jpg,29.07,0.7886,90.62,8.98
10204.jpg,25.87,0.6617,83.49,12.97
10210.jpg,27.0,0.819,90.38,11.39
10218.jpg,27.86,0.7428,88.17,10.32
10221.jpg,30.63,0.8833,96.42,7.5
10226.jpg,27.69,0.7833,88.34,10.53
10230.jpg,27.81,0.7501,88.69,10.37
10232.jpg,26.73,0.7332,83.45,11.75
10233.jpg,28.62,0.7467,91.69,9.46
10249.jpg,30.69,0.8603,96.87,7.45
1025.jpg,25.46,0.6398,80.45,13.6
10254.jpg,24.21,0.5712,76.02,15.7
10255.jpg,27.62,0.7518,87.64,10.6
10259.jpg,26.42,0.7358,82.72,12.18
10261.jpg,24.88,0.7009,84.27,14.54
10264.jpg,27.99,0.7529,87.42,10.17
10270.jpg,25.86,0.6764,80.92,12.99
1028.jpg,27.15,0.7285,87.46,11.19
10291.jpg,26.17,0.7255,81.93,12.53
10300.jpg,25.92,0.7354,82.88,12.9
10301.jpg,26.55,0.7448,83.39,11.99
10318.jpg,27.13,0.8202,91.44,11.23
10325.jpg,23.09,0.6087,73.81,17.87
10326.jpg,25.95,0.7118,82.97,12.86
10329.jpg,25.13,0.723,84.09,14.13
1033.jpg,27.57,0.7809,86.68,10.67
10333.jpg,26.31,0.6967,82.62,12.34
10347.jpg,28.8,0.715,92.14,9.26
10349.jpg,28.35,0.7862,90.55,9.75
10355.jpg,27.94,0.756,88.28,10.22
10362.jpg,28.78,0.807,91.67,9.28
10373.jpg,27.11,0.718,87.56,11.25
1038.jpg,27.2,0.7466,87.18,11.14
10385.jpg,34.62,0.8615,101.94,4.74
10393.jpg,27.8,0.717,88.49,10.39
10394.jpg,30.2,0.8492,96.58,7.88
10395.jpg,24.52,0.7436,82.08,15.15
10396.jpg,28.29,0.7825,90.42,9.82
10406.jpg,29.33,0.8815,96.56,8.71
10407.jpg,27.66,0.7778,88.59,10.56
1041.jpg,27.13,0.6708,83.22,11.22
10410.jpg,28.65,0.8424,93.68,9.42
10418.jpg,22.03,0.6212,69.73,20.19
10421.jpg,26.11,0.7189,79.95,12.62
10429.jpg,25.52,0.7718,85.66,13.5
10434.jpg,24.04,0.7327,84.21,16.02
10448.jpg,25.8,0.7817,86.3,13.08
10452.jpg,28.75,0.8184,91.15,9.32
10454.jpg,25.52,0.6571,83.9,13.5
1047.jpg,25.59,0.7065,81.36,13.39
10474.jpg,29.53,0.8473,94.87,8.51
10479.jpg,24.02,0.7177,79.92,16.06
1049.jpg,24.91,0.6341,77.71,14.49
10493.jpg,29.91,0.8435,95.49,8.15
10496.jpg,26.34,0.7474,82.98,12.3
10515.jpg,25.06,0.8133,87.37,14.24
10527.jpg,27.56,0.7635,86.89,10.68
1053.jpg,28.32,0.7597,91.48,9.78
10530.jpg,27.48,0.7354,90.56,10.77
10537.jpg,28.76,0.7244,92.37,9.3
10549.jpg,27.83,0.7383,89.35,10.36
1055.jpg,26.28,0.7534,86.15,12.37
10552.jpg,26.08,0.8118,87.17,12.66
10553.jpg,27.45,0.7139,85.86,10.81
10557.jpg,26.65,0.7168,85.54,11.85
10561.jpg,27.66,0.8216,90.05,10.56
10562.jpg,27.68,0.7642,91.62,10.53
10572.jpg,28.79,0.7815,91.88,9.27
10575.jpg,28.67,0.8261,93.35,9.4
10578.jpg,26.02,0.6893,82.77,12.75
10582.jpg,27.51,0.7286,87.85,10.74
10587.jpg,30.27,0.77,95.27,7.82
10590.jpg,26.7,0.6906,85.02,11.79
10595.jpg,29.44,0.7777,92.49,8.6
10605.jpg,26.69,0.7681,90.18,11.81
10609.jpg,23.74,0.6544,76.04,16.57
10623.jpg,30.27,0.8559,95.16,7.82
10632.jpg,24.89,0.7728,85.04,14.53
10636.jpg,26.16,0.6922,83.22,12.54
10645.jpg,28.73,0.7781,91.11,9.33
10646.jpg,20.79,0.6117,68.89,23.28
1065.jpg,25.77,0.7078,82.05,13.12
10651.jpg,28.53,0.7623,90.92,9.55
10663.jpg,27.39,0.7409,88.85,10.89
10664.jpg,26.98,0.7556,88.27,11.41
10666.jpg,28.88,0.8582,93.95,9.18
10668.jpg,27.84,0.7539,90.8,10.34
10675.jpg,23.38,0.6836,74.75,17.29
10678.jpg,23.45,0.6343,72.08,17.15
10691.jpg,24.28,0.7405,83.71,15.58
10693.jpg,26.34,0.7778,86.33,12.29
10704.jpg,27.97,0.7803,89.63,10.18
10707.jpg,24.07,0.6624,74.43,15.95
10708.jpg,26.29,0.7729,88.9,12.37
10716.jpg,30.99,0.7898,96.32,7.2
10728.jpg,26.66,0.7211,86.29,11.84
10729.jpg,28.21,0.7844,92.11,9.91
10732.jpg,26.31,0.6487,81.16,12.33
10744.jpg,25.83,0.7187,86.0,13.04
1075.jpg,28.94,0.7625,91.67,9.11
10758.jpg,25.12,0.7219,84.44,14.14
10761.jpg,25.08,0.6863,81.99,14.21
10765.jpg,25.66,0.6717,86.33,13.29
10769.jpg,27.92,0.8221,89.36,10.24
10771.jpg,28.14,0.8307,92.62,9.99
10781.jpg,26.18,0.7185,84.48,12.51
10789.jpg,28.06,0.7843,91.76,10.09
10794.jpg,22.29,0.6915,80.71,19.58
10797.jpg,26.95,0.7635,87.41,11.46
1080.jpg,25.07,0.649,79.48,14.22
10809.jpg,30.76,0.8082,95.88,7.39
1083.jpg,28.85,0.7402,91.99,9.21
10838.jpg,26.57,0.7607,87.12,11.97
10840.jpg,28.33,0.8067,91.69,9.78
10844.jpg,21.55,0.783,79.62,21.34
10874.jpg,26.71,0.7389,85.73,11.78
10888.jpg,28.64,0.7795,91.29,9.44
10890.jpg,26.34,0.6554,82.3,12.29
10899.jpg,29.4,0.8291,94.91,8.64
10902.jpg,26.02,0.6934,83.89,12.75
10909.jpg,25.62,0.6928,79.31,13.34
10910.jpg,27.29,0.8207,90.21,11.01
10912.jpg,25.51,0.6979,84.08,13.51
10925.jpg,27.25,0.7975,87.24,11.07
1093.jpg,27.59,0.7042,87.32,10.64
10931.jpg,28.51,0.7689,89.66,9.58
10933.jpg,28.1,0.8159,92.72,10.04
10937.jpg,26.32,0.7302,82.17,12.32
10948.jpg,21.67,0.6953,75.6,21.04
10950.jpg,28.11,0.8097,89.83,10.02
10954.jpg,24.18,0.5466,72.09,15.76
10966.jpg,25.4,0.685,79.08,13.7
10968.jpg,26.85,0.7705,84.98,11.59
10979.jpg,29.75,0.8297,94.52,8.3
10981.jpg,23.38,0.6864,81.62,17.28
10992.jpg,27.61,0.744,88.39,10.62
10993.jpg,27.15,0.7767,89.44,11.2
11001.jpg,27.34,0.693,85.83,10.96
11004.jpg,26.86,0.7497,83.5,11.58
11012.jpg,25.05,0.6956,83.21,14.26
11022.jpg,23.46,0.6625,72.74,17.11
11025.jpg,27.17,0.7711,87.81,11.16
11030.jpg,27.47,0.7635,87.06,10.79
11033.jpg,25.2,0.7137,83.74,14.01
11038.jpg,27.32,0.7949,87.66,10.98
11039.jpg,27.44,0.7391,88.67,10.83
11045.jpg,25.03,0.7695,84.79,14.3
11046.jpg,27.67,0.7278,87.22,10.55
1105.jpg,26.23,0.7087,82.61,12.45
11062.jpg,25.15,0.7097,81.88,14.1
11065.jpg,26.46,0.7723,86.69,12.12
11078.jpg,24.48,0.6653,77.61,15.22
11080.jpg,26.88,0.668,85.08,11.54
11086.jpg,30.09,0.7539,95.76,7.98
1109.jpg,26.01,0.7068,82.08,12.76
11090.jpg,27.88,0.7822,90.54,10.29
11101.jpg,29.36,0.8383,94.7,8.68
11109.jpg,27.16,0.7924,88.82,11.19
11112.jpg,24.48,0.6422,75.26,15.23
11118.jpg,25.15,0.6799,81.95,14.1
11122.jpg,26.38,0.6877,84.34,12.24
11123.jpg,25.04,0.664,81.23,14.27
11125.jpg,23.45,0.6609,80.72,17.14
11126.jpg,23.81,0.6401,79.41,16.45
11128.jpg,27.42,0.7517,86.11,10.86
11144.jpg,28.98,0.7976,92.91,9.07
11149.jpg,26.04,0.6907,89.27,12.73
11155.jpg,28.02,0.7494,89.99,10.13
11174.jpg,25.92,0.7032,83.53,12.9
11180.jpg,26.24,0.8014,87.34,12.43
11181.jpg,28.91,0.8368,94.48,9.14
11182.jpg,27.05,0.7303,91.34,11.33
11185.jpg,25.24,0.7314,86.05,13.96
11188.jpg,28.32,0.8199,91.91,9.78
1119.jpg,26.33,0.7749,85.72,12.31
11203.jpg,23.52,0.7927,90.89,17.01
11205.jpg,27.09,0.7876,88.8,11.28
11206.jpg,29.16,0.8605,93.82,8.88
11208.jpg,27.37,0.7159,88.07,10.91
1121.jpg,26.77,0.8064,85.18,11.69
11217.jpg,26.37,0.7955,86.85,12.24
11218.jpg,23.35,0.6921,82.73,17.33
11222.jpg,25.7,0.6989,84.12,13.24
11242.jpg,25.94,0.7642,86.54,12.87
11252.jpg,26.39,0.7169,83.96,12.22
11262.jpg,27.41,0.7268,85.93,10.87
11269.jpg,26.65,0.7231,84.25,11.86
11270.jpg,24.68,0.7405,85.97,14.88
11284.jpg,23.98,0.6938,76.82,16.12
11286.jpg,25.74,0.7642,81.89,13.17
11288.jpg,23.93,0.7162,78.78,16.22
11298.jpg,27.45,0.7741,92.19,10.82
113.jpg,28.05,0.7437,89.44,10.09
11304.jpg,28.73,0.7709,90.17,9.33
11305.jpg,27.27,0.7826,88.79,11.05
11307.jpg,23.0,0.6444,74.92,18.04
11319.jpg,24.42,0.6116,83.09,15.33
11322.jpg,26.05,0.822,94.12,12.71
11327.jpg,25.68,0.7066,81.76,13.26
11331.jpg,28.66,0.8517,93.4,9.4
11338.jpg,29.08,0.7433,95.1,8.96
11347.jpg,26.99,0.7086,88.04,11.41
11348.jpg,26.29,0.7543,87.08,12.36
11355.jpg,26.42,0.7565,87.71,12.18
11360.jpg,27.89,0.79,90.66,10.28
11363.jpg,25.13,0.6429,78.57,14.12
11364.jpg,27.15,0.6973,90.81,11.2
11365.jpg,24.79,0.7601,82.14,14.69
11368.jpg,27.34,0.7991,91.82,10.95
1137.jpg,26.21,0.6457,82.47,12.47
11372.jpg,27.45,0.8235,90.98,10.82
11376.jpg,27.42,0.8006,88.65,10.86
11384.jpg,25.83,0.7213,82.67,13.04
11390.jpg,27.93,0.7251,89.82,10.23
11392.jpg,21.0,0.6964,74.6,22.72
11409.jpg,25.29,0.7129,80.13,13.87
1141.jpg,28.32,0.7525,90.34,9.79
11421.jpg,27.29,0.819,91.55,11.01
11433.jpg,25.35,0.7671,86.09,13.78
11435.jpg,27.66,0.712,87.48,10.56
11439.jpg,28.88,0.8026,92.96,9.18
11440.jpg,27.98,0.7335,88.28,10.18
11443.jpg,25.31,0.7069,83.38,13.83
1145.jpg,26.78,0.6855,85.79,11.68
11453.jpg,27.41,0.7534,87.0,10.86
11454.jpg,24.25,0.7411,77.68,15.63
11458.jpg,28.39,0.8193,92.14,9.71
11459.jpg,23.99,0.6368,75.0,16.11
1146.jpg,28.28,0.7782,91.02,9.83
11464.jpg,23.32,0.6788,79.87,17.4
11466.jpg,26.46,0.7566,86.5,12.13
11473.jpg,22.91,0.648,71.64,18.25
11476.jpg,27.79,0.7063,89.14,10.4
11477.jpg,25.73,0.8403,92.89,13.18
11478.jpg,25.38,0.7202,81.25,13.73
11480.jpg,26.24,0.7473,82.86,12.44
11494.jpg,25.67,0.7389,83.77,13.27
11496.jpg,23.11,0.5489,70.32,17.82
11505.jpg,27.18,0.7793,87.5,11.15
11516.jpg,28.77,0.7845,93.53,9.29
11517.jpg,27.3,0.8008,87.55,11.0
11519.jpg,29.58,0.8226,94.79,8.47
1152.jpg,28.33,0.7905,90.46,9.77
11521.jpg,26.76,0.7263,84.12,11.71
11524.jpg,24.88,0.7174,75.87,14.53
11526.jpg,27.62,0.7223,90.56,10.61
11529.jpg,26.97,0.763,86.78,11.42
11532.jpg,26.45,0.619,84.93,12.14
11533.jpg,27.21,0.7782,89.59,11.11
11534.jpg,28.27,0.7669,89.58,9.84
1154.jpg,25.39,0.6635,78.47,13.71
11541.jpg,30.09,0.8695,96.0,7.98
11559.jpg,28.23,0.8533,92.82,9.89
1156.jpg,26.35,0.689,82.35,12.28
11562.jpg,24.44,0.6915,81.59,15.3
11563.jpg,27.05,0.7176,86.26,11.32
11568.jpg,27.05,0.7673,85.2,11.32
1157.jpg,27.97,0.7903,90.57,10.19
11578.jpg,28.26,0.8114,90.72,9.86
1159.jpg,26.02,0.6666,81.02,12.75
11591.jpg,26.02,0.7779,85.88,12.75
116.jpg,26.73,0.7566,84.1,11.76
11614.jpg,25.1,0.6782,75.41,14.18
11619.jpg,26.78,0.7126,84.03,11.68
11622.jpg,26.73,0.7239,88.49,11.75
11630.jpg,28.18,0.8229,91.81,9.95
11634.jpg,27.02,0.7879,85.87,11.37
11639.jpg,25.36,0.7481,82.73,13.75
11645.jpg,25.72,0.6949,81.21,13.19
11651.jpg,24.88,0.7568,83.59,14.54
11653.jpg,22.3,0.6037,69.55,19.57
11687.jpg,26.25,0.7999,87.06,12.42
1169.jpg,25.23,0.6162,76.67,13.97
11690.jpg,27.95,0.788,89.83,10.21
11691.jpg,27.88,0.7474,92.32,10.3
11697.jpg,23.09,0.6807,75.81,17.86
11705.jpg,26.03,0.6407,83.66,12.74
11708.jpg,27.05,0.7892,89.69,11.33
11712.jpg,25.0,0.7206,83.52,14.33
1172.jpg,29.09,0.8418,94.72,8.96
11721.jpg,29.31,0.8212,92.89,8.73
1173.jpg,27.23,0.8265,91.68,11.09
11732.jpg,26.79,0.6929,82.89,11.66
11737.jpg,24.32,0.6467,76.69,15.5
11738.jpg,26.34,0.7617,85.71,12.29
11747.jpg,27.27,0.7037,88.2,11.04
1175.jpg,26.75,0.7389,85.03,11.72
11750.jpg,28.07,0.7394,90.43,10.07
11754.jpg,27.7,0.8213,88.94,10.51
11766.jpg,26.17,0.6874,82.03,12.53
11772.jpg,26.54,0.7337,84.33,12.01
11781.jpg,25.15,0.6273,81.44,14.1
11782.jpg,25.6,0.6968,83.18,13.38
11784.jpg,27.93,0.7835,90.0,10.23
11787.jpg,28.13,0.8013,91.91,10.0
11788.jpg,22.83,0.6431,73.63,18.4
11797.jpg,29.15,0.7753,93.6,8.89
11798.jpg,24.47,0.7458,86.39,15.25
11799.jpg,27.58,0.7866,90.56,10.65
11806.jpg,28.43,0.7361,90.43,9.66
1182.jpg,29.63,0.8725,94.79,8.41
11825.jpg,30.1,0.838,94.77,7.97
11831.jpg,25.53,0.7451,84.57,13.49
11837.jpg,20.2,0.5891,61.74,24.93
1184.jpg,25.47,0.6943,80.93,13.59
11844.jpg,27.18,0.792,87.58,11.15
11845.jpg,27.83,0.7634,88.71,10.35
11848.jpg,29.68,0.7863,94.06,8.36
11851.jpg,25.59,0.6176,77.35,13.4
11853.jpg,26.53,0.7607,84.46,12.03
11854.jpg,30.01,0.8036,93.73,8.06
11860.jpg,27.69,0.8274,89.23,10.52
11871.jpg,27.14,0.7752,86.17,11.2
11872.jpg,27.39,0.7672,86.41,10.9
11877.jpg,25.38,0.6994,82.9,13.72
11878.jpg,23.57,0.5893,72.7,16.9
11882.jpg,22.18,0.5902,61.24,19.83
11884.jpg,24.97,0.6937,80.53,14.38
11886.jpg,30.16,0.8464,97.57,7.92
11887.jpg,26.96,0.817,85.46,11.44
11889.jpg,27.25,0.6562,85.14,11.07
11890.jpg,23.63,0.683,78.53,16.78
11909.jpg,27.44,0.7166,87.37,10.83
11921.jpg,28.18,0.775,91.9,9.94
11929.jpg,28.74,0.7666,94.2,9.32
11934.jpg,26.85,0.7188,83.21,11.58
11944.jpg,27.33,0.727,87.4,10.97
11945.jpg,28.05,0.7626,89.91,10.09
11947.jpg,25.19,0.6645,76.84,14.03
11948.jpg,25.61,0.698,82.36,13.36
11949.jpg,29.77,0.7903,93.44,8.28
11958.jpg,26.08,0.7854,86.25,12.67
11973.jpg,28.8,0.8186,92.25,9.26
11974.jpg,23.6,0.615,77.54,16.84
11975.jpg,26.32,0.7493,85.06,12.32
11980.jpg,28.03,0.7741,91.15,10.12
11992.jpg,27.17,0.7359,90.34,11.18
11994.jpg,26.92,0.7867,87.83,11.5
11997.jpg,26.65,0.7865,88.28,11.85
12005.jpg,26.54,0.675,85.65,12.01
12006.jpg,26.71,0.7581,88.1,11.77
12012.jpg,28.47,0.7898,90.98,9.62
12018.jpg,23.33,0.5435,67.51,17.38
1202.jpg,29.85,0.7777,94.28,8.2
12020.jpg,26.63,0.802,93.06,11.89
12022.jpg,24.45,0.6802,77.06,15.27
12024.jpg,23.47,0.5385,73.43,17.1
12026.jpg,26.77,0.7226,84.44,11.7
12029.jpg,28.11,0.7755,89.41,10.03
12030.jpg,23.97,0.6013,72.08,16.15
12034.jpg,29.78,0.8473,95.35,8.27
12035.jpg,26.28,0.7049,85.32,12.38
12047.jpg,24.72,0.7137,83.25,14.8
12064.jpg,25.89,0.8305,89.52,12.94
12082.jpg,26.81,0.7089,85.25,11.64
12085.jpg,28.77,0.7886,91.9,9.29
1209.jpg,26.83,0.729,88.0,11.61
12092.jpg,24.05,0.556,72.3,16.0
12102.jpg,27.87,0.8403,89.96,10.3
12110.jpg,25.69,0.7542,85.3,13.25
12123.jpg,27.94,0.7514,88.96,10.22
12129.jpg,29.27,0.8458,94.41,8.77
12132.jpg,26.4,0.7068,83.46,12.2
12136.jpg,27.26,0.6919,86.41,11.06
12139.jpg,27.46,0.8363,92.14,10.8
12150.jpg,23.02,0.6061,73.92,18.01
12157.jpg,26.38,0.7276,88.06,12.23
12160.jpg,27.18,0.7925,88.84,11.15
12180.jpg,29.42,0.802,93.87,8.62
12181.jpg,27.69,0.7681,87.55,10.52
12199.jpg,27.14,0.7552,87.26,11.21
12207.jpg,28.81,0.6904,89.46,9.25
12212.jpg,27.78,0.8159,90.49,10.42
12217.jpg,25.48,0.7014,84.2,13.57
12221.jpg,26.69,0.7347,85.29,11.81
12224.jpg,26.91,0.8005,89.12,11.51
12225.jpg,29.07,0.77,92.53,8.98
1223.jpg,26.63,0.725,86.61,11.88
12232.jpg,24.84,0.7068,82.79,14.61
12233.jpg,24.27,0.762,86.06,15.61
12238.jpg,25.35,0.7004,84.85,13.77
12239.jpg,30.57,0.8431,96.0,7.55
12248.jpg,27.56,0.7298,88.4,10.68
1226.jpg,26.64,0.6365,84.53,11.88
12260.jpg,27.5,0.7549,87.73,10.76
12264.jpg,26.48,0.7068,81.16,12.09
12266.jpg,28.39,0.8559,93.23,9.7
12269.jpg,25.46,0.7236,82.29,13.61
12271.jpg,26.35,0.8093,88.46,12.27
12282.jpg,25.78,0.7363,80.91,13.11
12291.jpg,28.2,0.7979,89.8,9.93
12310.jpg,27.04,0.7337,86.69,11.33
12313.jpg,22.18,0.6967,80.37,19.84
12319.jpg,27.71,0.7796,89.41,10.5
12325.jpg,26.38,0.7784,89.33,12.23
12326.jpg,30.9,0.8452,96.52,7.27
12327.jpg,24.61,0.6525,79.02,14.99
1233.jpg,28.94,0.7217,91.49,9.11
12335.jpg,25.4,0.7466,85.24,13.7
12336.jpg,24.27,0.6929,74.64,15.59
1234.jpg,26.68,0.7199,83.6,11.82
12344.jpg,30.99,0.8083,96.56,7.2
12345.jpg,23.26,0.5996,72.66,17.52
12363.jpg,23.9,0.6967,80.51,16.27
1237.jpg,31.48,0.8642,98.12,6.8
12373.jpg,27.15,0.7053,85.88,11.19
12374.jpg,27.5,0.787,89.71,10.76
12375.jpg,25.77,0.7431,86.58,13.13
12378.jpg,26.72,0.6996,83.62,11.76
12379.jpg,23.35,0.6116,71.26,17.35
12393.jpg,25.19,0.734,83.42,14.02
124.jpg,22.59,0.6004,64.81,18.92
12404.jpg,27.65,0.762,87.98,10.57
12408.jpg,26.18,0.7145,83.25,12.52
12420.jpg,25.5,0.6901,82.84,13.54
12424.jpg,28.79,0.8159,91.75,9.27
12434.jpg,26.51,0.7442,82.8,12.05
12436.jpg,24.35,0.669,73.82,15.45
12442.jpg,26.95,0.714,86.53,11.46
12449.jpg,27.55,0.76,86.84,10.69
12450.jpg,30.81,0.853,95.87,7.35
12464.jpg,24.62,0.6537,76.29,14.98
12470.jpg,23.79,0.661,78.97,16.48
12475.jpg,26.9,0.8417,94.57,11.52
12476.jpg,29.03,0.7613,91.82,9.02
12477.jpg,25.75,0.7035,81.77,13.16
12478.jpg,27.99,0.8121,93.08,10.16
12485.jpg,23.32,0.6462,78.7,17.4
12486.jpg,25.56,0.6079,79.74,13.44
12488.jpg,24.84,0.7362,84.09,14.61
12493.jpg,30.08,0.8228,94.68,7.99
12496.jpg,24.38,0.6601,73.73,15.39
12498.jpg,26.83,0.7537,88.62,11.61
12502.jpg,27.64,0.7954,89.27,10.59
12512.jpg,24.25,0.6845,84.35,15.64
12517.jpg,25.34,0.7512,86.1,13.8
12522.jpg,28.81,0.8333,93.15,9.24
12523.jpg,33.5,0.8553,100.77,5.39
12526.jpg,27.67,0.8065,90.73,10.55
12527.jpg,29.47,0.7482,94.63,8.57
12530.jpg,26.85,0.6904,84.29,11.59
12531.jpg,28.02,0.7638,88.47,10.13
12540.jpg,24.71,0.609,78.18,14.83
12544.jpg,24.67,0.6386,78.94,14.9
12549.jpg,26.45,0.6644,84.58,12.14
12550.jpg,26.47,0.7989,90.4,12.1
12551.jpg,26.6,0.8016,86.59,11.92
12552.jpg,29.46,0.6839,95.3,8.58
12571.jpg,25.25,0.713,81.55,13.94
12573.jpg,25.32,0.7497,84.68,13.82
1258.jpg,27.7,0.7236,89.01,10.51
12583.jpg,26.91,0.7,87.62,11.5
12593.jpg,26.07,0.6891,81.69,12.67
12599.jpg,23.0,0.5811,70.83,18.06
1260.jpg,26.23,0.6709,81.02,12.44
12605.jpg,28.13,0.6866,88.17,10.0
12606.jpg,26.96,0.738,84.47,11.44
12609.jpg,26.87,0.7288,86.16,11.57
12610.jpg,25.11,0.6804,81.2,14.16
12619.jpg,25.51,0.6998,84.81,13.51
1263.jpg,25.53,0.6671,82.25,13.49
12633.jpg,28.34,0.6043,87.04,9.76
12640.jpg,27.44,0.7904,89.54,10.82
12645.jpg,28.59,0.8112,90.87,9.49
12651.jpg,23.68,0.6431,68.49,16.7
12653.jpg,29.58,0.8322,95.46,8.46
12670.jpg,30.71,0.7241,97.87,7.43
12675.jpg,22.94,0.6379,75.34,18.17
12678.jpg,27.08,0.7652,92.22,11.29
1268.jpg,23.18,0.5176,69.64,17.68
12705.jpg,20.8,0.613,65.37,23.26
12709.jpg,27.26,0.7346,85.93,11.05
12719.jpg,24.62,0.5263,76.57,14.98
12722.jpg,27.43,0.7785,92.5,10.85
12738.jpg,27.07,0.7858,86.82,11.3
12743.jpg,29.27,0.7198,92.38,8.77
12746.jpg,27.68,0.799,89.09,10.53
12756.jpg,27.58,0.7299,89.54,10.65
12757.jpg,27.35,0.7394,90.09,10.94
12761.jpg,28.05,0.8111,91.62,10.09
12767.jpg,26.3,0.6842,83.7,12.35
12769.jpg,26.96,0.7282,88.77,11.45
12773.jpg,27.58,0.8138,92.36,10.66
12776.jpg,25.41,0.7466,88.7,13.68
1278.jpg,28.92,0.7783,91.25,9.13
12789.jpg,27.26,0.7773,87.81,11.05
1279.jpg,28.17,0.7465,89.69,9.96
12790.jpg,28.11,0.7849,89.43,10.02
12806.jpg,27.72,0.7263,89.92,10.49
12809.jpg,28.77,0.7309,90.65,9.29
12818.jpg,23.14,0.6453,73.59,17.77
12821.jpg,25.51,0.7245,89.49,13.52
12831.jpg,24.23,0.5985,75.83,15.67
12847.jpg,26.06,0.671,82.68,12.69
12850.jpg,31.94,0.886,99.01,6.45
12856.jpg,24.8,0.6751,83.84,14.68
1286.jpg,27.75,0.7186,89.64,10.45
12878.jpg,25.7,0.7235,82.35,13.24
12880.jpg,27.54,0.7629,88.15,10.7
12891.jpg,24.55,0.6978,78.7,15.1
12894.jpg,23.41,0.6077,72.41,17.22
12899.jpg,28.21,0.8328,91.26,9.91
12901.jpg,23.11,0.5784,69.29,17.83
12912.jpg,26.76,0.6675,84.01,11.72
12920.jpg,24.28,0.6699,72.32,15.58
12924.jpg,28.89,0.8093,91.0,9.17
12928.jpg,24.06,0.6332,76.48,15.98
12932.jpg,28.05,0.8558,90.92,10.09
12934.jpg,28.75,0.7439,91.61,9.31
12941.jpg,23.02,0.7097,71.1,18.01
12942.jpg,29.17,0.8125,93.89,8.87
12947.jpg,28.23,0.8218,89.34,9.89
12953.jpg,27.53,0.7881,90.29,10.71
12956.jpg,24.13,0.6678,78.24,15.86
12957.jpg,26.14,0.7853,84.63,12.58
12960.jpg,27.29,0.8137,90.78,11.02
12964.jpg,29.48,0.7954,93.52,8.56
12972.jpg,22.14,0.7146,79.02,19.94
12974.jpg,25.01,0.7622,78.43,14.32
12985.jpg,25.86,0.692,84.66,12.99
12990.jpg,22.02,0.5984,78.12,20.21
12992.jpg,26.11,0.7069,83.77,12.61
12993.jpg,23.55,0.671,77.91,16.95
12998.jpg,26.31,0.7375,83.98,12.33
13004.jpg,24.95,0.689,74.76,14.42
13014.jpg,27.07,0.7433,87.99,11.3
1302.jpg,32.25,0.8424,98.74,6.22
13033.jpg,27.67,0.6741,86.83,10.54
1304.jpg,27.14,0.7269,87.24,11.21
13044.jpg,27.01,0.7399,88.43,11.38
13045.jpg,26.7,0.741,87.85,11.8
13052.jpg,24.07,0.5626,74.8,15.96
13059.jpg,27.54,0.7397,89.64,10.7
13064.jpg,25.19,0.6257,78.72,14.03
1307.jpg,29.61,0.8099,95.83,8.43
13070.jpg,26.57,0.7744,85.06,11.96
13071.jpg,26.33,0.6466,81.24,12.3
13076.jpg,26.27,0.7881,87.06,12.38
13078.jpg,25.85,0.7824,82.45,13.01
1308.jpg,27.81,0.7184,87.9,10.38
